,Value
374,39.0
375,45.0
376,61.0
377,227.0
378,219.0
379,193.0
380,47.0
381,26.0
382,28.0
383,30.0
384,25.0
385,24.0
386,26.0
387,19.0
388,35.0
389,37.0
390,34.0
391,33.0
392,33.0
393,34.0
394,38.0
395,38.0
396,41.0
397,37.0
398,45.0
399,71.0
400,92.0
401,78.0
402,86.0
403,107.0
404,167.0
405,208.0
406,226.0
407,285.0
408,283.0
409,214.0
410,193.0
411,231.0
412,213.0
413,180.0
414,149.0
415,86.0
416,82.0
417,87.0
418,94.0
419,122.0
420,138.0
421,138.0
422,176.0
423,450.0
424,372.0
425,358.0
426,448.0
427,485.0
428,557.0
429,573.0
430,603.0
431,412.0
432,300.0
433,312.0
434,253.0
435,285.0
436,277.0
437,236.0
438,157.0
439,237.0
440,290.0
441,371.0
442,353.0
443,227.0
444,201.0
445,98.0
446,76.0
447,71.0
448,73.0
449,85.0
450,100.0
451,115.0
452,128.0
453,141.0
454,72.0
455,88.0
456,91.0
457,69.0
458,59.0
459,53.0
460,57.0
461,64.0
462,78.0
463,87.0
464,88.0
465,80.0
466,84.0
467,100.0
468,129.0
469,128.0
470,114.0
471,110.0
472,122.0
473,142.0
474,150.0
475,138.0
476,156.0
477,145.0
478,169.0
479,161.0
480,160.0
481,156.0
482,198.0
483,188.0
484,176.0
485,187.0
486,154.0
487,179.0
488,198.0
489,159.0
490,164.0
491,156.0
492,144.0
493,104.0
494,88.0
495,72.0
496,93.0
497,98.0
498,114.0
499,184.0
500,162.0
501,179.0
502,131.0
503,104.0
504,84.0
505,88.0
506,60.0
507,45.0
508,38.0
509,37.0
510,40.0
511,52.0
512,46.0
513,48.0
514,55.0
515,46.0
516,111.0
517,127.0
518,326.0
519,382.0
520,352.0
521,366.0
522,396.0
523,398.0
524,374.0
525,412.0
526,437.0
527,453.0
528,439.0
529,439.0
530,437.0
531,411.0
532,424.0
533,417.0
534,422.0
535,394.0
536,388.0
537,401.0
538,402.0
539,396.0
540,395.0
541,392.0
542,359.0
543,301.0
544,273.0
545,297.0
546,321.0
547,336.0
548,399.0
549,378.0
550,398.0
551,255.0
552,29.0
553,17.0
554,18.0
555,11.0
556,16.0
557,12.0
558,13.0
559,14.0
560,20.0
561,29.0
562,32.0
563,12.0
