,Value
897,114.0
898,128.0
899,65.0
900,67.0
901,52.0
902,35.0
903,27.0
904,26.0
905,27.0
906,22.0
907,25.0
908,16.0
909,25.0
910,25.0
911,21.0
912,18.0
913,18.0
914,16.0
915,18.0
916,23.0
917,22.0
918,20.0
919,20.0
920,22.0
921,26.0
922,25.0
923,32.0
924,27.0
925,28.0
926,30.0
927,34.0
928,35.0
929,29.0
930,34.0
931,35.0
932,42.0
933,44.0
934,37.0
935,34.0
936,29.0
937,29.0
938,24.0
939,26.0
940,29.0
941,28.0
942,31.0
943,31.0
944,31.0
945,33.0
946,37.0
947,31.0
948,27.0
949,31.0
950,33.0
951,37.0
952,41.0
953,44.0
954,48.0
955,65.0
956,82.0
957,119.0
958,132.0
959,185.0
960,249.0
961,574.0
962,467.0
963,383.0
964,224.0
965,185.0
966,145.0
967,137.0
968,144.0
969,153.0
970,160.0
971,130.0
972,129.0
973,125.0
974,103.0
975,112.0
976,84.0
977,63.0
978,51.0
979,64.0
980,75.0
981,71.0
982,74.0
983,69.0
984,62.0
985,63.0
986,57.0
987,61.0
988,52.0
989,61.0
990,62.0
991,75.0
992,73.0
993,75.0
994,64.0
995,57.0
996,51.0
997,63.0
998,65.0
999,65.0
1000,48.0
1001,45.0
1002,49.0
1003,58.0
1004,55.0
1005,50.0
1006,42.0
1007,31.0
1008,37.0
1009,37.0
1010,34.0
1011,35.0
1012,35.0
1013,27.0
1014,26.0
1015,31.0
1016,24.0
1017,28.0
1018,30.0
1019,32.0
1020,35.0
1021,37.0
1022,46.0
1023,44.0
1024,51.0
1025,54.0
1026,64.0
1027,84.0
1028,90.0
1029,77.0
1030,85.0
1031,79.0
1032,74.0
1033,87.0
1034,91.0
1035,91.0
1036,85.0
1037,88.0
1038,86.0
1039,97.0
1040,99.0
1041,104.0
1042,97.0
1043,86.0
1044,79.0
1045,75.0
1046,94.0
1047,86.0
1048,77.0
1049,77.0
1050,77.0
1051,84.0
1052,109.0
1053,123.0
1054,138.0
1055,226.0
1056,196.0
1057,651.0
1058,188.0
1059,116.0
1060,105.0
1061,90.0
1062,90.0
1063,78.0
1064,84.0
1065,89.0
1066,89.0
1067,91.0
1068,71.0
1069,42.0
1070,42.0
1071,32.0
1072,30.0
1073,23.0
1074,26.0
1075,25.0
1076,28.0
1077,27.0
1078,28.0
1079,26.0
1080,22.0
1081,21.0
1082,24.0
1083,28.0
1084,28.0
1085,27.0
1086,35.0
1087,39.0
1088,37.0
1089,40.0
1090,59.0
1091,59.0
1092,79.0
1093,84.0
1094,80.0
1095,68.0
1096,55.0
1097,68.0
1098,98.0
1099,114.0
1100,160.0
1101,178.0
1102,170.0
1103,143.0
1104,137.0
1105,111.0
1106,97.0
1107,65.0
1108,55.0
1109,56.0
1110,56.0
1111,48.0
1112,47.0
1113,40.0
1114,38.0
1115,43.0
1116,40.0
1117,37.0
1118,32.0
1119,34.0
1120,32.0
1121,34.0
1122,33.0
1123,34.0
1124,32.0
1125,31.0
1126,27.0
1127,24.0
1128,23.0
1129,17.0
1130,22.0
1131,22.0
1132,22.0
1133,21.0
1134,22.0
1135,30.0
1136,32.0
1137,29.0
1138,29.0
1139,33.0
1140,39.0
1141,43.0
1142,42.0
1143,41.0
1144,46.0
1145,54.0
1146,60.0
1147,70.0
1148,84.0
1149,85.0
1150,112.0
1151,113.0
1152,124.0
1153,126.0
1154,103.0
1155,107.0
1156,90.0
1157,72.0
1158,62.0
1159,44.0
1160,40.0
1161,24.0
1162,19.0
1163,16.0
1164,19.0
1165,28.0
1166,34.0
1167,59.0
1168,30.0
1169,28.0
1170,34.0
1171,19.0
1172,24.0
1173,18.0
1174,17.0
1175,14.0
1176,12.0
1177,9.0
1178,8.0
1179,10.0
1180,11.0
1181,9.0
1182,10.0
1183,12.0
1184,12.0
1185,18.0
1186,20.0
1187,24.0
1188,26.0
1189,30.0
1190,26.0
1191,21.0
1192,19.0
1193,22.0
1194,30.0
1195,28.0
1196,28.0
1197,38.0
1198,37.0
1199,40.0
1200,45.0
1201,46.0
1202,45.0
1203,42.0
1204,45.0
1205,54.0
1206,59.0
1207,58.0
1208,55.0
1209,52.0
1210,44.0
1211,44.0
1212,48.0
1213,49.0
1214,54.0
1215,54.0
1216,61.0
1217,69.0
1218,71.0
1219,65.0
1220,65.0
1221,67.0
1222,65.0
1223,57.0
1224,59.0
1225,62.0
1226,66.0
1227,65.0
1228,66.0
1229,62.0
1230,65.0
1231,64.0
1232,66.0
1233,64.0
1234,52.0
1235,65.0
1236,65.0
1237,59.0
1238,68.0
1239,61.0
1240,63.0
1241,65.0
1242,63.0
1243,68.0
1244,69.0
1245,75.0
1246,71.0
1247,78.0
1248,78.0
1249,70.0
1250,74.0
1251,74.0
1252,59.0
1253,45.0
1254,48.0
1255,48.0
1256,48.0
1257,80.0
1258,87.0
1259,88.0
1260,90.0
1261,83.0
1262,84.0
1263,86.0
1264,98.0
1265,102.0
1266,110.0
1267,115.0
1268,117.0
1269,116.0
1270,119.0
1271,114.0
1272,119.0
1273,120.0
1274,130.0
1275,138.0
1276,145.0
1277,149.0
1278,150.0
1279,160.0
1280,146.0
1281,161.0
1282,143.0
1283,152.0
1284,149.0
1285,157.0
1286,138.0
1287,129.0
1288,155.0
1289,173.0
1290,175.0
1291,184.0
1292,202.0
1293,204.0
1294,180.0
1295,195.0
1296,206.0
1297,205.0
1298,206.0
1299,210.0
1300,197.0
1301,176.0
1302,156.0
1303,139.0
1304,127.0
1305,107.0
1306,60.0
1307,31.0
1308,18.0
1309,21.0
1310,18.0
1311,21.0
1312,30.0
1313,32.0
1314,29.0
1315,39.0
1316,61.0
1317,61.0
1318,47.0
1319,37.0
1320,35.0
1321,26.0
1322,18.0
1323,20.0
1324,26.0
1325,27.0
1326,27.0
1327,29.0
1328,30.0
1329,25.0
1330,31.0
1331,28.0
1332,25.0
1333,22.0
1334,24.0
1335,33.0
1336,35.0
1337,48.0
1338,50.0
1339,46.0
1340,45.0
1341,36.0
1342,30.0
1343,26.0
1344,35.0
1345,32.0
1346,34.0
1347,31.0
1348,33.0
1349,39.0
1350,42.0
1351,38.0
1352,38.0
1353,36.0
1354,37.0
1355,41.0
1356,64.0
1357,71.0
1358,72.0
1359,68.0
1360,53.0
1361,64.0
1362,67.0
1363,52.0
1364,49.0
1365,43.0
1366,36.0
1367,23.0
1368,21.0
1369,21.0
1370,14.0
1371,40.0
1372,43.0
1373,42.0
1374,47.0
1375,48.0
1376,42.0
1377,46.0
1378,43.0
1379,38.0
1380,42.0
1381,40.0
1382,38.0
1383,43.0
1384,42.0
1385,46.0
1386,47.0
1387,47.0
1388,48.0
1389,47.0
1390,45.0
1391,55.0
1392,39.0
1393,52.0
1394,46.0
1395,52.0
1396,55.0
1397,55.0
1398,60.0
1399,57.0
1400,76.0
1401,75.0
1402,66.0
1403,52.0
1404,49.0
1405,49.0
1406,50.0
1407,53.0
1408,59.0
1409,55.0
1410,54.0
1411,53.0
1412,62.0
1413,54.0
1414,54.0
1415,60.0
1416,61.0
1417,62.0
1418,74.0
1419,98.0
1420,135.0
1421,94.0
1422,49.0
1423,87.0
1424,117.0
1425,114.0
1426,100.0
1427,32.0
1428,25.0
1429,27.0
1430,25.0
1431,25.0
1432,27.0
1433,26.0
1434,33.0
1435,29.0
1436,26.0
1437,29.0
1438,21.0
1439,25.0
1440,23.0
1441,21.0
1442,22.0
1443,17.0
1444,20.0
1445,14.0
1446,16.0
1447,21.0
1448,21.0
1449,24.0
1450,21.0
1451,19.0
1452,25.0
1453,30.0
1454,31.0
1455,38.0
1456,28.0
1457,32.0
1458,36.0
1459,36.0
1460,34.0
1461,35.0
1462,26.0
1463,27.0
1464,25.0
1465,22.0
1466,29.0
1467,24.0
1468,27.0
1469,21.0
1470,33.0
1471,36.0
1472,43.0
1473,51.0
1474,63.0
1475,67.0
1476,60.0
1477,83.0
1478,84.0
1479,90.0
1480,98.0
1481,98.0
1482,101.0
1483,88.0
1484,80.0
1485,89.0
1486,91.0
1487,90.0
1488,94.0
1489,101.0
1490,106.0
1491,123.0
1492,134.0
1493,169.0
1494,184.0
1495,168.0
1496,148.0
1497,125.0
1498,105.0
1499,102.0
1500,90.0
1501,92.0
1502,89.0
1503,76.0
1504,77.0
1505,77.0
1506,80.0
1507,118.0
1508,149.0
1509,151.0
1510,136.0
1511,142.0
1512,157.0
1513,160.0
1514,167.0
1515,168.0
1516,159.0
1517,152.0
1518,158.0
1519,150.0
1520,153.0
1521,154.0
1522,150.0
1523,143.0
1524,141.0
1525,151.0
1526,148.0
1527,123.0
1528,126.0
1529,114.0
1530,119.0
1531,129.0
1532,153.0
1533,138.0
1534,125.0
1535,107.0
1536,96.0
1537,91.0
1538,83.0
1539,84.0
1540,80.0
1541,78.0
1542,80.0
1543,84.0
1544,90.0
1545,98.0
1546,113.0
1547,109.0
1548,84.0
1549,74.0
1550,58.0
1551,57.0
1552,64.0
1553,76.0
1554,76.0
1555,66.0
1556,64.0
1557,69.0
1558,59.0
1559,63.0
1560,69.0
1561,68.0
1562,76.0
1563,75.0
1564,78.0
1565,74.0
1566,94.0
1567,109.0
1568,117.0
1569,112.0
1570,110.0
1571,131.0
1572,142.0
1573,155.0
1574,167.0
1575,176.0
1576,192.0
1577,212.0
1578,218.0
1579,198.0
1580,210.0
1581,201.0
1582,212.0
1583,236.0
1584,224.0
1585,237.0
1586,214.0
1587,199.0
1588,196.0
1589,196.0
1590,183.0
1591,188.0
1592,152.0
1593,130.0
1594,135.0
1595,110.0
1596,84.0
1597,84.0
1598,68.0
1599,75.0
1600,80.0
1601,83.0
1602,76.0
1603,104.0
1604,137.0
1605,174.0
1606,195.0
1607,141.0
1608,120.0
1609,115.0
1610,105.0
1611,111.0
1612,116.0
1613,131.0
1614,128.0
1615,128.0
1616,134.0
1617,130.0
1618,123.0
1619,107.0
1620,90.0
1621,101.0
1622,92.0
1623,91.0
1624,96.0
1625,102.0
1626,116.0
1627,117.0
1628,123.0
1629,120.0
1630,117.0
1631,119.0
1632,115.0
1633,175.0
1634,167.0
1635,107.0
1636,84.0
1637,49.0
1638,33.0
1639,33.0
1640,30.0
1641,35.0
1642,37.0
1643,28.0
1644,32.0
1645,36.0
1646,31.0
1647,29.0
1648,21.0
1649,26.0
1650,26.0
1651,24.0
1652,26.0
1653,20.0
1654,20.0
1655,21.0
1656,17.0
1657,23.0
1658,19.0
1659,21.0
1660,16.0
1661,12.0
1662,18.0
1663,24.0
1664,31.0
1665,32.0
1666,21.0
1667,32.0
1668,28.0
