,Value,3exp_add,3exp_mul
18312,164.0,118.64422448484639,116.31192512177003
18313,184.0,161.2344557953065,175.6529424162935
18314,180.0,186.67268249063733,198.37341016354924
18315,206.0,181.819409554621,178.10416931000051
18316,191.0,197.5803538828524,200.70320730411146
18317,237.0,187.2335964567081,193.45111972191302
18318,241.0,234.92350739887647,240.77734291052917
18319,254.0,244.23058504043698,252.11023262430842
18320,263.0,256.95290979872686,287.73473765931493
18321,268.0,263.8681868343535,292.9162641972694
18322,265.0,272.45367831138907,298.82059593728053
18323,265.0,267.46388359361333,262.8594650882467
18324,245.0,269.46834518363255,279.9238247897112
18325,191.0,246.73376954111185,250.45715575826992
18326,154.0,197.00822896410767,201.39589746598634
18327,140.0,161.31843314821455,179.26999691936618
18328,117.0,141.7233003929939,146.22236550904972
18329,113.0,114.98966860915459,114.08980456534263
18330,128.0,114.06494316584734,117.16075869654442
18331,119.0,126.53757766433485,126.9330547704819
18332,87.0,117.00890988596339,116.35177540282486
18333,78.0,85.19875799811544,84.50118353492554
18334,79.0,71.61745274542923,74.81203218554906
18335,79.0,74.13559498055766,77.64000725286
18336,77.0,75.4377609531232,82.1551622435979
18337,76.0,77.01205159311127,83.21491161138412
18338,72.0,77.35689411347515,77.86610986312621
18339,64.0,71.81486834261214,74.13438347318568
18340,54.0,69.31311490952756,79.54162773289187
18341,61.0,54.55625127595583,61.83806766018263
18342,92.0,60.710993485369514,62.47996204998102
18343,100.0,90.06666198111944,88.08891242603246
18344,95.0,98.07939505767574,95.18923912212557
18345,65.0,91.86589980906933,91.5704893960116
18346,81.0,66.28689352601282,65.54423930700207
18347,54.0,75.1513705676917,75.1467739699732
18348,27.0,50.5718091605055,58.41455815338644
18349,26.0,32.914428787096064,30.29309678941527
18350,23.0,22.500024343787388,25.569080479340386
18351,30.0,24.18589348812571,24.437058839575467
18352,29.0,23.65251543330913,28.361322135422064
18353,28.0,29.64434072780885,29.063540195864313
18354,27.0,26.330338275588048,28.812062079335558
18355,22.0,25.486015554949006,25.73213100630069
18356,36.0,23.65674359338439,22.135967717101668
18357,25.0,30.23843930720666,30.456716130342947
18358,25.0,27.400039987770946,28.074540219047506
18359,29.0,17.56773985722781,25.28507076698239
18360,139.0,26.515265331902622,30.35206627465293
18361,24.0,128.3737772054673,128.28218196779636
18362,18.0,27.689496774458274,43.348319617632534
18363,18.0,21.156389463990138,23.723433874215754
18364,17.0,24.70592047019044,20.847371959849095
18365,17.0,20.922613416005568,18.544271334299715
18366,17.0,21.167859491097307,19.83082186597329
