,Value
703,46.9
704,48.0
705,46.9
706,46.9
707,46.0
708,46.9
709,46.9
710,46.9
711,46.9
712,46.9
713,46.0
714,46.0
715,45.0
716,45.0
717,44.1
718,43.0
719,43.0
720,42.1
721,41.0
722,39.9
723,41.0
724,43.0
725,44.1
726,44.1
727,44.1
728,44.1
729,42.1
730,41.0
731,41.0
732,39.0
733,37.0
734,37.0
735,35.1
736,35.1
737,34.0
738,34.0
739,33.1
740,33.1
741,33.1
742,34.0
743,34.0
744,33.1
745,36.0
746,36.0
747,39.0
748,39.9
749,41.0
750,41.0
751,42.1
752,41.0
753,39.9
754,39.9
755,41.0
756,39.9
757,39.9
758,39.0
759,39.0
760,39.9
761,39.0
762,37.9
763,37.9
764,37.0
765,37.0
766,37.0
767,35.1
768,35.1
769,37.0
770,37.9
771,37.9
772,39.9
773,39.9
774,39.9
775,39.9
776,39.9
777,39.0
778,37.9
779,36.0
780,35.1
781,34.0
782,33.1
783,32.0
784,30.9
785,28.9
786,28.0
787,28.0
788,28.0
789,28.0
790,28.0
791,28.0
792,28.9
793,30.0
794,30.9
795,33.1
796,35.1
797,36.0
798,37.0
799,39.0
800,39.0
801,37.9
802,39.0
803,39.0
804,39.0
805,39.0
806,37.9
807,37.9
808,37.0
809,37.0
810,37.0
811,37.0
812,37.0
813,37.9
814,37.9
815,39.0
816,37.9
817,39.9
818,41.0
819,45.0
820,48.0
821,52.0
822,53.1
823,55.0
824,55.0
825,48.9
826,46.9
827,46.0
828,48.0
829,52.0
830,54.0
831,51.1
832,51.1
833,50.0
834,50.0
835,50.0
836,50.0
837,50.0
838,50.0
839,48.9
840,50.0
841,51.1
842,52.0
843,55.0
844,57.0
845,59.0
846,57.9
847,55.9
848,53.1
849,52.0
850,52.0
851,51.1
852,50.0
853,48.0
854,46.9
855,46.0
856,44.1
857,43.0
858,42.1
859,41.0
860,39.9
861,39.0
862,39.0
863,39.0
864,39.0
865,39.9
866,43.0
867,46.0
868,48.0
869,48.0
870,48.9
871,48.9
872,48.9
873,48.0
874,46.0
875,45.0
876,45.0
877,44.1
878,43.0
879,43.0
880,43.0
881,42.1
882,44.1
883,43.0
884,44.1
885,45.0
886,46.0
887,48.0
888,48.0
889,48.0
890,50.0
891,50.0
892,50.0
893,51.1
894,53.1
895,54.0
896,54.0
897,53.1
898,53.1
899,54.0
900,54.0
901,55.0
902,55.9
903,55.9
904,57.0
905,57.0
906,57.0
907,57.0
908,55.9
909,55.9
910,55.9
911,55.9
912,55.9
913,55.9
914,55.9
915,55.0
916,55.0
917,55.9
918,57.9
919,57.0
920,57.9
921,57.9
922,57.9
923,57.9
924,57.9
925,57.9
926,57.9
927,57.9
928,57.9
929,57.9
930,57.0
931,55.9
932,55.9
933,55.9
934,55.9
935,55.4
936,54.0
937,52.0
938,51.1
939,51.1
